{x=1853,m=1718,a=852,s=421}
{x=2267,m=267,a=370,s=177}
{x=684,m=3595,a=349,s=55}
{x=3394,m=422,a=1182,s=1468}
{x=1902,m=359,a=956,s=2143}
{x=3729,m=1383,a=799,s=887}
{x=2182,m=855,a=1277,s=195}
{x=608,m=1985,a=83,s=3923}
{x=2768,m=233,a=1538,s=2232}
{x=59,m=1225,a=270,s=983}
{x=1804,m=2039,a=957,s=705}
{x=460,m=1115,a=1049,s=376}
{x=27,m=144,a=1421,s=2553}
{x=838,m=2998,a=563,s=3050}
{x=142,m=466,a=479,s=1125}
{x=715,m=565,a=32,s=138}
{x=156,m=668,a=507,s=2073}
{x=1926,m=267,a=3414,s=554}
{x=1253,m=1693,a=2019,s=360}
{x=398,m=2354,a=1778,s=643}
{x=954,m=525,a=1508,s=1607}
{x=37,m=31,a=149,s=803}
{x=212,m=383,a=1288,s=145}
{x=39,m=639,a=364,s=1277}
{x=2519,m=1272,a=31,s=2869}
{x=162,m=1170,a=449,s=516}
{x=2101,m=1142,a=2348,s=156}
{x=915,m=2517,a=1793,s=2079}
{x=540,m=856,a=2704,s=3}
{x=414,m=836,a=71,s=1790}
{x=2796,m=1429,a=60,s=928}
{x=52,m=88,a=610,s=517}
{x=1019,m=1532,a=2767,s=632}
{x=1443,m=441,a=228,s=642}
{x=328,m=595,a=947,s=936}
{x=463,m=2650,a=104,s=3234}
{x=789,m=62,a=281,s=257}
{x=293,m=18,a=56,s=62}
{x=9,m=665,a=556,s=426}
{x=1141,m=1351,a=760,s=599}
{x=370,m=839,a=102,s=1985}
{x=2295,m=197,a=2136,s=181}
{x=545,m=1190,a=1118,s=1373}
{x=1488,m=1075,a=265,s=1678}
{x=890,m=3,a=376,s=406}
{x=75,m=318,a=14,s=264}
{x=920,m=63,a=238,s=3394}
{x=1787,m=3530,a=2762,s=5}
{x=316,m=1158,a=1934,s=1069}
{x=573,m=195,a=105,s=564}
{x=1821,m=2141,a=579,s=808}
{x=323,m=2219,a=61,s=208}
{x=140,m=1375,a=46,s=2408}
{x=358,m=529,a=220,s=31}
{x=203,m=789,a=585,s=868}
{x=2118,m=884,a=828,s=362}
{x=388,m=2794,a=2062,s=372}
{x=862,m=2303,a=1032,s=196}
{x=725,m=1153,a=478,s=1423}
{x=1353,m=313,a=2826,s=31}
{x=2985,m=183,a=1256,s=734}
{x=446,m=417,a=1970,s=122}
{x=3598,m=2237,a=38,s=247}
{x=455,m=1138,a=109,s=527}
{x=697,m=1815,a=3009,s=530}
{x=30,m=49,a=497,s=871}
{x=866,m=400,a=1041,s=2446}
{x=304,m=512,a=1530,s=194}
{x=1213,m=2841,a=152,s=553}
{x=477,m=547,a=534,s=2815}
{x=411,m=765,a=70,s=1005}
{x=1767,m=1973,a=872,s=494}
